Yellow: Entry, quadrant 3, 0:5
Green: Entry, quadrant 4, 0:15
Orange: Entry, quadrant 1, 0:22
Green: Entry, quadrant None, 0:26
Green: Exit, quadrant None, 0:27
Orange: Exit, quadrant 1, 0:30
Orange: Entry, quadrant 2, 0:39
Orange: Exit, quadrant 2, 0:39
Orange: Entry, quadrant 2, 0:40
Orange: Exit, quadrant 2, 0:43
Orange: Entry, quadrant 2, 0:43
Yellow: Exit, quadrant 3, 0:44
Green: Entry, quadrant 1, 0:47
Green: Entry, quadrant 2, 0:47
Green: Entry, quadrant 3, 0:47
Green: Exit, quadrant 3, 0:48
Green: Entry, quadrant 3, 0:48
Yellow: Entry, quadrant 1, 0:52
Yellow: Exit, quadrant 1, 0:52
Yellow: Entry, quadrant 1, 0:52
Yellow: Exit, quadrant 1, 0:53
Yellow: Entry, quadrant 1, 0:53
Orange: Exit, quadrant 2, 0:60
Yellow: Exit, quadrant 1, 1:3
Green: Exit, quadrant 3, 1:7
Green: Entry, quadrant 2, 1:7
Green: Entry, quadrant 1, 1:7
Green: Entry, quadrant None, 1:7
Green: Exit, quadrant None, 1:7
Yellow: Entry, quadrant 1, 1:10
Yellow: Entry, quadrant 2, 1:10
Yellow: Exit, quadrant 2, 1:10
Yellow: Entry, quadrant 3, 1:11
Orange: Entry, quadrant 1, 1:16
Green: Entry, quadrant None, 1:19
Green: Entry, quadrant 1, 1:19
Orange: Exit, quadrant 1, 1:19
Green: Entry, quadrant 4, 1:20
Green: Entry, quadrant 1, 1:20
Orange: Entry, quadrant 1, 1:20
Green: Exit, quadrant 1, 1:20
Green: Entry, quadrant None, 1:22
Green: Entry, quadrant 1, 1:22
Green: Entry, quadrant 4, 1:22
Orange: Exit, quadrant 1, 1:22
Orange: Entry, quadrant 1, 1:23
Orange: Exit, quadrant 1, 1:23
Orange: Entry, quadrant 1, 1:23
Orange: Exit, quadrant 1, 1:33
Green: Exit, quadrant 4, 1:34
Green: Entry, quadrant 4, 1:34
Green: Exit, quadrant 4, 1:34
Yellow: Exit, quadrant 3, 1:37
Yellow: Entry, quadrant 1, 1:41
Yellow: Exit, quadrant 1, 1:41
Yellow: Entry, quadrant 1, 1:43
Yellow: Exit, quadrant 1, 1:45
Yellow: Entry, quadrant 1, 1:46
Yellow: Exit, quadrant 1, 1:47
Yellow: Entry, quadrant 1, 1:48
Green: Entry, quadrant 2, 1:51
Orange: Entry, quadrant None, 1:53
Orange: Exit, quadrant None, 1:53
Orange: Entry, quadrant 4, 1:54
Yellow: Exit, quadrant 1, 2:3
Yellow: Entry, quadrant 1, 2:3
Yellow: Exit, quadrant 1, 2:3
Green: Exit, quadrant 2, 2:4
Orange: Exit, quadrant 4, 2:5
Orange: Entry, quadrant 1, 2:11
Orange: Exit, quadrant 1, 2:11
Orange: Entry, quadrant 1, 2:13
Orange: Exit, quadrant 1, 2:15
Orange: Entry, quadrant 1, 2:17
Green: Entry, quadrant 1, 2:22
Orange: Exit, quadrant 1, 2:22
Green: Entry, quadrant 4, 2:23
Orange: Entry, quadrant 1, 2:23
Yellow: Entry, quadrant 1, 2:25
Yellow: Exit, quadrant 1, 2:25
Orange: Exit, quadrant 1, 2:25
Yellow: Entry, quadrant 3, 2:26
Orange: Entry, quadrant 1, 2:26
